,Unnamed: 0,firm,kiscode,kiscode_tf
67,67,(주)프레시원부산,I70179,19070179
68,68,(주)하이라이트레코즈,HC9763,1801309763
69,69,(주)하이어뮤직레코즈,IQ8339,1902808339
70,70,씨제이브리딩(주),DC1167,1401301167
71,71,에이오엠지(주),J84860,21084860
72,72,인천남항부두운영(주),C12026,13012026
73,73,(주)하나방송,F14974,16014974
74,74,삼해야마코(주),176146,176146
0,0,한화솔루션(주),350257,350257
1,1,(주)한화,350893,350893
2,2,한화생명보험(주),870013,870013
3,3,한화시스템(주),128888,128888
4,4,한화손해보험(주),870137,870137
5,5,한화에어로스페이스(주),380784,380784
6,6,한화투자증권(주),860026,860026
7,7,한화호텔앤드리조트(주),910147,910147
8,8,(주)한화건설,203828,203828
9,9,한화토탈(주),215522,215522
10,10,한화디펜스(주),IR7378,1902907378
11,11,(주)한화에스테이트,039667,39667
12,12,한화글로벌에셋(주),111164,111164
13,13,(주)한화갤러리아,620092,620092
14,14,(주)한화육삼시티,040053,40053
15,15,한화테크윈(주),JB2183,2101202183
16,16,한화정밀기계(주),IR7391,1902907391
17,17,한화손해사정(주),379952,379952
18,18,한화에너지(주),673142,673142
19,19,한화파워시스템(주),IR7354,1902907354
20,20,한화종합화학(주),351385,351385
21,21,한화자산운용(주),812757,812757
22,22,(주)한화갤러리아타임월드,620580,620580
23,23,한화라이프에셋(주),388750,388750
24,24,(주)에스아이티,F33505,16033505
25,25,(주)한화비앤비,L26546,23026546
26,26,한화컴파운드(주),370347,370347
27,27,에코이앤오(주),I67176,19067176
28,28,(주)한화저축은행,903183,903183
29,29,(주)한화도시개발,F00041,16000041
30,30,(주)캐스,137493,137493
31,31,(주)한화이글스,990124,990124
32,32,한화역사(주),612626,612626
33,33,(주)에이치피앤디,IN4248,1902504248
34,34,대산그린에너지(주),IY8041,1903708041
35,35,(주)여수씨월드,F12999,16012999
36,36,(주)일산씨월드,F20516,16020516
37,37,에이치솔루션(주),165442,165442
38,38,하이패스태양광(주),I71406,19071406
39,39,(주)경기용인테크노밸리,HG0470,1801700470
40,40,(주)김해테크노밸리,C92917,13092917
41,41,(주)서산테크노밸리,485766,485766
42,42,한화케미칼오버시즈홀딩스(주),C89693,13089693
43,43,한화테크엠(주),087086,87086
44,44,에이치에스아이(주),CB8714,1301208714
45,45,한화솔라파워(주),IQ9959,1902809959
46,46,한화종합화학글로벌(주),JD3907,2101403907
47,47,(주)에스아이티테크,M27687,24027687
48,48,(주)에이치밸리,F08018,16008018
49,49,영암테크노태양광(주),J66442,21066442
50,50,한반도태양광(주),J92349,21092349
51,51,해사랑태양광(주),L89359,23089359
52,52,(주)아산테크노밸리,390416,390416
