,Unnamed: 0,firm,kiscode,kiscode_tf
18,18,케이지(주),F97149,16097149
19,19,케이아이(주),I73160,19073160
20,20,금호고속관광(주),HX9149,1803609149
21,21,금호고속관광(주),JH3215,2101803215
22,22,금호고속관광(주),L55297,23055297
23,23,에스티엠(주),IN9090,1902509090
24,24,에이오(주),IX6722,1903606722
25,25,케이브이아이(주),JM2181,2102402181
26,26,케이알(주),CR5094,1302905094
0,0,삼성전자(주),380725,380725
1,1,삼성에스디에스(주),820717,820717
2,2,삼성전기(주),380733,380733
3,3,삼성SDI(주),380458,380458
4,4,삼성중공업(주),380180,380180
5,5,삼성물산(주),810053,810053
6,6,(주)에스원,820482,820482
7,7,삼성화재해상보험(주),870056,870056
8,8,삼성엔지니어링(주),820040,820040
9,9,삼성생명보험(주),870021,870021
10,10,삼성바이오로직스(주),H33268,18033268
11,11,삼성증권(주),821616,821616
12,12,(주)호텔신라,630039,630039
13,13,삼성카드(주),990345,990345
14,14,(주)제일기획,820032,820032
