,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
117,비금융회사,이니텍,동일인측,동일인 측 합계,동일인 측 합계,11679349,59.01%,-,-,11679349.0,59.01%,동일인 측 합계,19790916.0,0.590136858748731,50,50,,,
118,비금융회사,이니텍,기타주주,기타,기타주주,8111567,40.99%,-,-,8111567.0,40.99%,기타,19790916.0,0.409863141251269,99,99,0.409863141251269,0.409863141251269,
119,비금융회사,이니텍,총계,총계,총계,19790916,100.00%,-,-,19790916.0,100.00%,총계,19790916.0,1.0,50,50,,,
120,비금융회사,케이티에이엠씨,동일인측,계열회사,케이티에스테이트,1400000,100.00%,-,-,1400000.0,100.00%,계열회사,1400000.0,1.0,1,1,1.0,1.0,케이티에스테이트
121,비금융회사,케이티에이엠씨,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,동일인 측 합계,1400000.0,1.0,50,50,,,
122,비금융회사,케이티에이엠씨,기타주주,기타,기타,-,-,-,-,,-,기타,1400000.0,,99,99,0.0,0.0,
123,비금융회사,케이티에이엠씨,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,총계,1400000.0,1.0,50,50,,,
124,비금융회사,케이티지디에이치,동일인측,동일인,케이티,7400000,100.00%,-,-,7400000.0,100.00%,동일인,7400000.0,1.0,0,0,1.0,1.0,
125,비금융회사,케이티지디에이치,동일인측,동일인 측 합계,동일인 측 합계,7400000,100.00%,-,-,7400000.0,100.00%,동일인 측 합계,7400000.0,1.0,50,50,,,
126,비금융회사,케이티지디에이치,기타주주,기타,기타,-,-,-,-,,-,기타,7400000.0,,99,99,0.0,0.0,
127,비금융회사,케이티지디에이치,총계,총계,총계,7400000,100.00%,-,-,7400000.0,100.00%,총계,7400000.0,1.0,50,50,,,
128,비금융회사,케이디리빙,동일인측,계열회사,케이티에스테이트,102000,51.00%,-,-,102000.0,51.00%,계열회사,200000.0,0.51,1,1,0.51,0.51,케이티에스테이트
129,비금융회사,케이디리빙,동일인측,동일인 측 합계,동일인 측 합계,102000,51.00%,-,-,102000.0,51.00%,동일인 측 합계,200000.0,0.51,50,50,,,
130,비금융회사,케이디리빙,기타주주,기타,기타,98000,49.00%,-,-,98000.0,49.00%,기타,200000.0,0.49,99,99,0.49,0.49,
